{Club name},{Academic},{Artistic},{Sports/Competition},{Community},{Sum Checker},{},{Sponsor},{Grades},{Description},{Special events},{meetings},{Requirements},{Costs}
{Academic Competition Team},{10},{3},{7},{0},{20},{},{John w. Shearin},{9 - 12},"{Not a club, but a competitive team which represents CHS in the White River

Academic League competitions, in the annual MIC Academic Challenge, and in other academic

competitions as opportunities arise.}",{The team competes in ten-or-twelve academic matches with various other area high schools (some at home and some away) from October through March.},{Throughout the season the team practices every Monday after school from 3:15 until 4:00 p.m. in the CHS library media center.},{},{}
{Academic Super Bowl},{7},{7},{5},{1},{20},{},{Matt Dillon and James Ziegler},{9 - 12},"{Academic Super Bowl is a theme-based, academic competition. Each year the State Organization sets a theme and develops specific study guides in the following academic subject areas: Fine Arts, English, Math, Science, and Social Studies. Squads are formed to study and compete in each area (a sixth squad competes in the interdisciplinary round that covers all fiveareas).}",{There aren't any special events other than our competitions.},"{We will meet 1-2 times per month, after school, until competition season. Each

individual subject area will have a captain, who may also schedule meetings with his fellow team

members to study the material. We have practice competitions in February and March, and the

area competition is in April (the April competition determines who advances to the State). Dates

of the competitions: TBD.}",{},{}
{Advanced Computer Science},{13},{7},{0},{0},{20},{},{Dom David},{9 - 12},"{A club dedicated to advanced computer programming languages and tools. This club

is meant to help students become more prepared for post-secondary CS education/career.

Special events​: May 2nd, 2017 - Student Poster Sessions for Students, Parents and Supporters.}",{},{​Every two weeks on Tuesdays 3:20 to 4:00-4:15 PM.},{},{}
{Anime},{4},{12},{0},{4},{20},{},{Rita Winters},{9 - 12},"{This club views anime, the newest phenomenon in America. Also, we'll watch old

classics and acquaint members with new series.}",{},{Every other Monday in the Freshman Center LGI Room from 3:30 to 5:00.},{},{$5 for snacks.}
{Art Club},{2},{17},{0},{1},{20},{},"{Jennifer Bubp, Linda Lutes, Drew Murray, and Janine Shafer}",{9 - 12},"{Art Club participates in community service projects, art shows, and silent art auctions

throughout the school year. Members are encouraged to use their artistic abilities and talents to

serve others.}","{events​: Carmel International Arts Festival

CHS Fall Art Show

Riley Children's Hospital Silent Art Auction

Ghost n' Goblins 5K Face Painting

Holiday Window Painting at Carmel City Center}","{Thursdays, after school, from 3:15- 4:00 p.m. in room H115}",{},{​$10 membership dues}
{Baking a Difference},{6},{10},{0},{4},{20},{},{Jillian Schmidt and Brenda Lester},{9 - 12},"{Students gather after school to bake and deliver the proceeds to organizations with

people in need to give back to the community.}",{},"{Meetings vary based on the needs of organizations we donate to and kitchen

availability.}",{},"{$20 dues are required before any

participation in baking is allowed.}"
{Best Buddies},{4},{1},{0},{15},{20},{},{​Dana Lawrence​ ​and ​Kay Vazquez},{9 - 12},"{​It is a club to create opportunities for one-to-one friendships with people that have

intellectual and developmental disabilities.}",{},{Meeting vary monthly. Most are during SRT but we also have monthly outings.},"{​Time is required to spend with your Buddy; no financial

requirements.}",{}
{Big Game},{0},{0},{9},{11},{20},{},{​Brad Pearson},{9 - 12},"{Spirit club of Carmel High School that helps lead the student body in school spirit in

a manner that represents the school in a positive way and always shows sportsmanship to the

opposing competition.}","{Making Strides Walk for Breast Cancer Awareness- October, downtown

Indianapolis (voluntary).

Outside of sporting events, we ask our members to help get involved in the community by helping

give back to those in need.}","{Selected leaders will meet with sponsor during SRT to discuss upcoming events,

themes, and other ideas to help create a positive experience for those events. Information will then

be spread through social media to the rest of the club members and student body.}","{Students who wish to be involved in the club must sign club contract

and abide by its rules.}",{}
{Biology Club},{17},{0},{0},{3},{20},{},{Dr. Marble},{9 - 12},{Informal club to help students study for the Biology Olympiad test.},{In February the Open Exam is administered.},{Gold Mondays from 3:15-4:30pm E132},{},{}
{Bollywood Club},{0},{10},{7},{3},{20},{},{Mr. Todd Hawkins},{9 - 12},"{To promote awareness about Bollywood cultural aspects like Bollywood dance,

music, and Indian food.}",{},{1st Tuesday of every month from 3:15-4:15 PM in room A210 after school},{},{}
